# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2009-08-13 17:39:10 EDT
#
# Data for the following site(s) are contained in this file
#    USGS 08171300 Blanco Rv nr Kyle, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08171300
#    DD parameter statistic   Description
#    01   00060     00001     Discharge, cubic feet per second (Maximum)
#    01   00060     00002     Discharge, cubic feet per second (Minimum)
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00001	01_00060_00001_cd	01_00060_00002	01_00060_00002_cd	01_00060_00003	01_00060_00003_cd
USGS	08171300	1956-10-09					0.00	A
USGS	08171300	1956-10-10					0.00	A
USGS	08171300	1956-10-11					0.00	A
USGS	08171300	1956-10-12					0.00	A
USGS	08171300	1956-10-13					0.00	A
USGS	08171300	1956-10-14					0.00	A
USGS	08171300	1956-10-15					0.00	A
USGS	08171300	1956-10-16					14	A
USGS	08171300	1956-10-17					327	A
USGS	08171300	1956-10-18					74	A
USGS	08171300	1956-10-19					11	A
USGS	08171300	1956-10-20					2.0	A
USGS	08171300	1956-10-21					0.90	A
USGS	08171300	1956-10-22					0.60	A
USGS	08171300	1956-10-23					0.40	A
USGS	08171300	1956-10-24					0.30	A
USGS	08171300	1956-10-25					0.20	A
USGS	08171300	1956-10-26					0.10	A
USGS	08171300	1956-10-27					0.00	A
USGS	08171300	1956-10-28					0.00	A
USGS	08171300	1956-10-29					0.00	A
USGS	08171300	1956-10-30					0.00	A
USGS	08171300	1956-10-31					0.00	A
USGS	08171300	1956-11-01					0.00	A
USGS	08171300	1956-11-02					0.00	A
USGS	08171300	1956-11-03					0.00	A
USGS	08171300	1956-11-04					28	A
USGS	08171300	1956-11-05					147	A
USGS	08171300	1956-11-06					36	A
USGS	08171300	1956-11-07					48	A
USGS	08171300	1956-11-08					11	A
USGS	08171300	1956-11-09					2.9	A
USGS	08171300	1956-11-10					1.0	A
USGS	08171300	1956-11-11					0.60	A
USGS	08171300	1956-11-12					0.50	A
USGS	08171300	1956-11-13					0.40	A
USGS	08171300	1956-11-14					0.50	A
USGS	08171300	1956-11-15					0.40	A
USGS	08171300	1956-11-16					0.20	A
USGS	08171300	1956-11-17					0.20	A
USGS	08171300	1956-11-18					0.00	A
USGS	08171300	1956-11-19					0.00	A
USGS	08171300	1956-11-20					0.00	A
USGS	08171300	1956-11-21					0.00	A
USGS	08171300	1956-11-22					0.00	A
USGS	08171300	1956-11-23					0.00	A
USGS	08171300	1956-11-24					0.00	A
USGS	08171300	1956-11-25					0.00	A
USGS	08171300	1956-11-26					0.00	A
USGS	08171300	1956-11-27					0.00	A
USGS	08171300	1956-11-28					0.00	A
USGS	08171300	1956-11-29					0.00	A
USGS	08171300	1956-11-30					0.00	A
USGS	08171300	1956-12-01					0.00	A
USGS	08171300	1956-12-02					0.00	A
USGS	08171300	1956-12-03					0.00	A
USGS	08171300	1956-12-04					0.00	A
USGS	08171300	1956-12-05					0.00	A
USGS	08171300	1956-12-06					0.00	A
USGS	08171300	1956-12-07					0.00	A
USGS	08171300	1956-12-08					0.00	A
USGS	08171300	1956-12-09					0.00	A
USGS	08171300	1956-12-10					0.00	A
USGS	08171300	1956-12-11					0.00	A
USGS	08171300	1956-12-12					0.00	A
USGS	08171300	1956-12-13					0.00	A
USGS	08171300	1956-12-14					0.00	A
USGS	08171300	1956-12-15					0.00	A
USGS	08171300	1956-12-16					0.00	A
USGS	08171300	1956-12-17					0.00	A
USGS	08171300	1956-12-18					0.00	A
USGS	08171300	1956-12-19					141	A
USGS	08171300	1956-12-20					106	A
USGS	08171300	1956-12-21					24	A
USGS	08171300	1956-12-22					7.1	A
USGS	08171300	1956-12-23					2.2	A
USGS	08171300	1956-12-24					1.0	A
USGS	08171300	1956-12-25					0.60	A
USGS	08171300	1956-12-26					0.40	A
USGS	08171300	1956-12-27					0.30	A
USGS	08171300	1956-12-28					0.20	A
USGS	08171300	1956-12-29					0.20	A
USGS	08171300	1956-12-30					0.10	A
USGS	08171300	1956-12-31					0.00	A
USGS	08171300	1957-01-01					0.00	A
USGS	08171300	1957-01-02					0.00	A
USGS	08171300	1957-01-03					0.00	A
USGS	08171300	1957-01-04					0.00	A
USGS	08171300	1957-01-05					0.00	A
USGS	08171300	1957-01-06					0.00	A
USGS	08171300	1957-01-07					0.00	A
USGS	08171300	1957-01-08					0.00	A
USGS	08171300	1957-01-09					0.00	A
USGS	08171300	1957-01-10					0.00	A
USGS	08171300	1957-01-11					0.00	A
USGS	08171300	1957-01-12					0.00	A
USGS	08171300	1957-01-13					0.00	A
USGS	08171300	1957-01-14					0.00	A
USGS	08171300	1957-01-15					0.00	A
USGS	08171300	1957-01-16					0.00	A
USGS	08171300	1957-01-17					0.00	A
USGS	08171300	1957-01-18					0.00	A
USGS	08171300	1957-01-19					0.00	A
USGS	08171300	1957-01-20					0.00	A
USGS	08171300	1957-01-21					0.00	A
USGS	08171300	1957-01-22					0.00	A
USGS	08171300	1957-01-23					0.00	A
USGS	08171300	1957-01-24					0.00	A
USGS	08171300	1957-01-25					0.00	A
USGS	08171300	1957-01-26					0.00	A
USGS	08171300	1957-01-27					0.00	A
USGS	08171300	1957-01-28					0.00	A
USGS	08171300	1957-01-29					0.00	A
USGS	08171300	1957-01-30					0.00	A
USGS	08171300	1957-01-31					0.00	A
USGS	08171300	1957-02-01					0.00	A
USGS	08171300	1957-02-02					0.00	A
USGS	08171300	1957-02-03					0.00	A
USGS	08171300	1957-02-04					0.00	A
USGS	08171300	1957-02-05					0.00	A
USGS	08171300	1957-02-06					0.00	A
USGS	08171300	1957-02-07					0.00	A
USGS	08171300	1957-02-08					0.00	A
USGS	08171300	1957-02-09					0.00	A
USGS	08171300	1957-02-10					0.00	A
USGS	08171300	1957-02-11					0.00	A
USGS	08171300	1957-02-12					0.00	A
USGS	08171300	1957-02-13					0.00	A
USGS	08171300	1957-02-14					16	A
USGS	08171300	1957-02-15					2.5	A
USGS	08171300	1957-02-16					1.0	A
USGS	08171300	1957-02-17					0.60	A
USGS	08171300	1957-02-18					0.50	A
USGS	08171300	1957-02-19					0.30	A
USGS	08171300	1957-02-20					0.20	A
USGS	08171300	1957-02-21					0.10	A
USGS	08171300	1957-02-22					0.00	A
USGS	08171300	1957-02-23					58	A
USGS	08171300	1957-02-24					102	A
USGS	08171300	1957-02-25					49	A
USGS	08171300	1957-02-26					14	A
USGS	08171300	1957-02-27					4.1	A
USGS	08171300	1957-02-28					1.6	A
USGS	08171300	1957-03-01					0.80	A
USGS	08171300	1957-03-02					0.60	A
USGS	08171300	1957-03-03					0.50	A
USGS	08171300	1957-03-04					0.30	A
USGS	08171300	1957-03-05					0.20	A
USGS	08171300	1957-03-06					0.20	A
USGS	08171300	1957-03-07					0.10	A
USGS	08171300	1957-03-08					0.00	A
USGS	08171300	1957-03-09					0.00	A
USGS	08171300	1957-03-10					0.00	A
USGS	08171300	1957-03-11					0.00	A
USGS	08171300	1957-03-12					0.00	A
USGS	08171300	1957-03-13					0.00	A
USGS	08171300	1957-03-14					0.00	A
USGS	08171300	1957-03-15					0.00	A
USGS	08171300	1957-03-16					0.00	A
USGS	08171300	1957-03-17					0.00	A
USGS	08171300	1957-03-18					0.00	A
USGS	08171300	1957-03-19					0.00	A
USGS	08171300	1957-03-20					44	A
USGS	08171300	1957-03-21					3730	A
USGS	08171300	1957-03-22					217	A
USGS	08171300	1957-03-23					76	A
USGS	08171300	1957-03-24					37	A
USGS	08171300	1957-03-25					24	A
USGS	08171300	1957-03-26					17	A
USGS	08171300	1957-03-27					12	A
USGS	08171300	1957-03-28					561	A
USGS	08171300	1957-03-29					171	A
USGS	08171300	1957-03-30					54	A
USGS	08171300	1957-03-31					39	A
USGS	08171300	1957-04-01					149	A
USGS	08171300	1957-04-02					84	A
USGS	08171300	1957-04-03					42	A
USGS	08171300	1957-04-04					26	A
USGS	08171300	1957-04-05					18	A
USGS	08171300	1957-04-06					13	A
USGS	08171300	1957-04-07					9.9	A
USGS	08171300	1957-04-08					9.1	A
USGS	08171300	1957-04-09					8.0	A
USGS	08171300	1957-04-10					6.6	A
USGS	08171300	1957-04-11					6.0	A
USGS	08171300	1957-04-12					6.0	A
USGS	08171300	1957-04-13					5.0	A
USGS	08171300	1957-04-14					4.5	A
USGS	08171300	1957-04-15					4.2	A
USGS	08171300	1957-04-16					7.0	A
USGS	08171300	1957-04-17					8.0	A
USGS	08171300	1957-04-18					6.0	A
USGS	08171300	1957-04-19					33	A
USGS	08171300	1957-04-20					315	A
USGS	08171300	1957-04-21					161	A
USGS	08171300	1957-04-22					2030	A
USGS	08171300	1957-04-23					461	A
USGS	08171300	1957-04-24					9490	A
USGS	08171300	1957-04-25					2500	A
USGS	08171300	1957-04-26					1100	A
USGS	08171300	1957-04-27					3600	A
USGS	08171300	1957-04-28					1300	A
USGS	08171300	1957-04-29					1800	A
USGS	08171300	1957-04-30					610	A
USGS	08171300	1957-05-01					460	A
USGS	08171300	1957-05-02					360	A
USGS	08171300	1957-05-03					300	A
USGS	08171300	1957-05-04					270	A
USGS	08171300	1957-05-05					250	A
USGS	08171300	1957-05-06					230	A
USGS	08171300	1957-05-07					210	A
USGS	08171300	1957-05-08					189	A
USGS	08171300	1957-05-09					173	A
USGS	08171300	1957-05-10					280	A
USGS	08171300	1957-05-11					206	A
USGS	08171300	1957-05-12					143	A
USGS	08171300	1957-05-13					198	A
USGS	08171300	1957-05-14					464	A
USGS	08171300	1957-05-15					174	A
USGS	08171300	1957-05-16					202	A
USGS	08171300	1957-05-17					143	A
USGS	08171300	1957-05-18					207	A
USGS	08171300	1957-05-19					728	A
USGS	08171300	1957-05-20					274	A
USGS	08171300	1957-05-21					202	A
USGS	08171300	1957-05-22					177	A
USGS	08171300	1957-05-23					158	A
USGS	08171300	1957-05-24					146	A
USGS	08171300	1957-05-25					129	A
USGS	08171300	1957-05-26					145	A
USGS	08171300	1957-05-27					450	A
USGS	08171300	1957-05-28					1120	A
USGS	08171300	1957-05-29					372	A
USGS	08171300	1957-05-30					300	A
USGS	08171300	1957-05-31					1440	A
USGS	08171300	1957-06-01					1110	A
USGS	08171300	1957-06-02					1330	A
USGS	08171300	1957-06-03					839	A
USGS	08171300	1957-06-04					830	A
USGS	08171300	1957-06-05					686	A
USGS	08171300	1957-06-06					775	A
USGS	08171300	1957-06-07					528	A
USGS	08171300	1957-06-08					448	A
USGS	08171300	1957-06-09					385	A
USGS	08171300	1957-06-10					340	A
USGS	08171300	1957-06-11					320	A
USGS	08171300	1957-06-12					306	A
USGS	08171300	1957-06-13					656	A
USGS	08171300	1957-06-14					357	A
USGS	08171300	1957-06-15					279	A
USGS	08171300	1957-06-16					248	A
USGS	08171300	1957-06-17					222	A
USGS	08171300	1957-06-18					211	A
USGS	08171300	1957-06-19					196	A
USGS	08171300	1957-06-20					181	A
USGS	08171300	1957-06-21					169	A
USGS	08171300	1957-06-22					158	A
USGS	08171300	1957-06-23					152	A
USGS	08171300	1957-06-24					141	A
USGS	08171300	1957-06-25					137	A
USGS	08171300	1957-06-26					118	A
USGS	08171300	1957-06-27					110	A
USGS	08171300	1957-06-28					107	A
USGS	08171300	1957-06-29					101	A
USGS	08171300	1957-06-30					90	A
USGS	08171300	1957-07-01					83	A
USGS	08171300	1957-07-02					78	A
USGS	08171300	1957-07-03					74	A
USGS	08171300	1957-07-04					71	A
USGS	08171300	1957-07-05					69	A
USGS	08171300	1957-07-06					65	A
USGS	08171300	1957-07-07					61	A
USGS	08171300	1957-07-08					59	A
USGS	08171300	1957-07-09					57	A
USGS	08171300	1957-07-10					56	A
USGS	08171300	1957-07-11					52	A
USGS	08171300	1957-07-12					50	A
USGS	08171300	1957-07-13					47	A
USGS	08171300	1957-07-14					43	A
USGS	08171300	1957-07-15					41	A
USGS	08171300	1957-07-16					38	A
USGS	08171300	1957-07-17					37	A
USGS	08171300	1957-07-18					34	A
USGS	08171300	1957-07-19					33	A
USGS	08171300	1957-07-20					32	A
USGS	08171300	1957-07-21					30	A
USGS	08171300	1957-07-22					37	A
USGS	08171300	1957-07-23					50	A
USGS	08171300	1957-07-24					37	A
USGS	08171300	1957-07-25					32	A
USGS	08171300	1957-07-26					28	A
USGS	08171300	1957-07-27					26	A
USGS	08171300	1957-07-28					25	A
USGS	08171300	1957-07-29					24	A
USGS	08171300	1957-07-30					23	A
USGS	08171300	1957-07-31					22	A
USGS	08171300	1957-08-01					22	A
USGS	08171300	1957-08-02					21	A
USGS	08171300	1957-08-03					19	A
USGS	08171300	1957-08-04					18	A
USGS	08171300	1957-08-05					17	A
USGS	08171300	1957-08-06					18	A
USGS	08171300	1957-08-07					17	A
USGS	08171300	1957-08-08					16	A
USGS	08171300	1957-08-09					16	A
USGS	08171300	1957-08-10					15	A
USGS	08171300	1957-08-11					15	A
USGS	08171300	1957-08-12					14	A
USGS	08171300	1957-08-13					13	A
USGS	08171300	1957-08-14					12	A
USGS	08171300	1957-08-15					11	A
USGS	08171300	1957-08-16					11	A
USGS	08171300	1957-08-17					10	A
USGS	08171300	1957-08-18					9.1	A
USGS	08171300	1957-08-19					9.1	A
USGS	08171300	1957-08-20					9.9	A
USGS	08171300	1957-08-21					9.9	A
USGS	08171300	1957-08-22					11	A
USGS	08171300	1957-08-23					11	A
USGS	08171300	1957-08-24					10	A
USGS	08171300	1957-08-25					9.5	A
USGS	08171300	1957-08-26					8.7	A
USGS	08171300	1957-08-27					8.4	A
USGS	08171300	1957-08-28					8.0	A
USGS	08171300	1957-08-29					7.6	A
USGS	08171300	1957-08-30					7.3	A
USGS	08171300	1957-08-31					23	A
USGS	08171300	1957-09-01					14	A
USGS	08171300	1957-09-02					9.1	A
USGS	08171300	1957-09-03					9.5	A
USGS	08171300	1957-09-04					9.9	A
USGS	08171300	1957-09-05					8.4	A
USGS	08171300	1957-09-06					9.5	A
USGS	08171300	1957-09-07					18	A
USGS	08171300	1957-09-08					27	A
USGS	08171300	1957-09-09					17	A
USGS	08171300	1957-09-10					14	A
USGS	08171300	1957-09-11					13	A
USGS	08171300	1957-09-12					20	A
USGS	08171300	1957-09-13					17	A
USGS	08171300	1957-09-14					20	A
USGS	08171300	1957-09-15					16	A
USGS	08171300	1957-09-16					13	A
USGS	08171300	1957-09-17					11	A
USGS	08171300	1957-09-18					11	A
USGS	08171300	1957-09-19					9.1	A
USGS	08171300	1957-09-20					8.4	A
USGS	08171300	1957-09-21					7.6	A
USGS	08171300	1957-09-22					2630	A
USGS	08171300	1957-09-23					1430	A
USGS	08171300	1957-09-24					607	A
USGS	08171300	1957-09-25					413	A
USGS	08171300	1957-09-26					523	A
USGS	08171300	1957-09-27					320	A
USGS	08171300	1957-09-28					248	A
USGS	08171300	1957-09-29					200	A
USGS	08171300	1957-09-30					169	A
USGS	08171300	1957-10-01					148	A
USGS	08171300	1957-10-02					132	A
USGS	08171300	1957-10-03					122	A
USGS	08171300	1957-10-04					113	A
USGS	08171300	1957-10-05					102	A
USGS	08171300	1957-10-06					96	A
USGS	08171300	1957-10-07					90	A
USGS	08171300	1957-10-08					87	A
USGS	08171300	1957-10-09					81	A
USGS	08171300	1957-10-10					80	A
USGS	08171300	1957-10-11					74	A
USGS	08171300	1957-10-12					71	A
USGS	08171300	1957-10-13					70	A
USGS	08171300	1957-10-14					994	A
USGS	08171300	1957-10-15					2180	A
USGS	08171300	1957-10-16					1260	A
USGS	08171300	1957-10-17					613	A
USGS	08171300	1957-10-18					460	A
USGS	08171300	1957-10-19					385	A
USGS	08171300	1957-10-20					340	A
USGS	08171300	1957-10-21					320	A
USGS	08171300	1957-10-22					2110	A
USGS	08171300	1957-10-23					1230	A
USGS	08171300	1957-10-24					862	A
USGS	08171300	1957-10-25					722	A
USGS	08171300	1957-10-26					610	A
USGS	08171300	1957-10-27					535	A
USGS	08171300	1957-10-28					475	A
USGS	08171300	1957-10-29					435	A
USGS	08171300	1957-10-30					410	A
USGS	08171300	1957-10-31					372	A
USGS	08171300	1957-11-01					340	A
USGS	08171300	1957-11-02					320	A
USGS	08171300	1957-11-03					310	A
USGS	08171300	1957-11-04					310	A
USGS	08171300	1957-11-05					290	A
USGS	08171300	1957-11-06					268	A
USGS	08171300	1957-11-07					257	A
USGS	08171300	1957-11-08					257	A
USGS	08171300	1957-11-09					236	A
USGS	08171300	1957-11-10					227	A
USGS	08171300	1957-11-11					290	A
USGS	08171300	1957-11-12					565	A
USGS	08171300	1957-11-13					535	A
USGS	08171300	1957-11-14					435	A
USGS	08171300	1957-11-15					398	A
USGS	08171300	1957-11-16					372	A
USGS	08171300	1957-11-17					350	A
USGS	08171300	1957-11-18					340	A
USGS	08171300	1957-11-19					340	A
USGS	08171300	1957-11-20					320	A
USGS	08171300	1957-11-21					310	A
USGS	08171300	1957-11-22					320	A
USGS	08171300	1957-11-23					340	A
USGS	08171300	1957-11-24					640	A
USGS	08171300	1957-11-25					705	A
USGS	08171300	1957-11-26					595	A
USGS	08171300	1957-11-27					550	A
USGS	08171300	1957-11-28					505	A
USGS	08171300	1957-11-29					475	A
USGS	08171300	1957-11-30					422	A
USGS	08171300	1957-12-01					398	A
USGS	08171300	1957-12-02					398	A
USGS	08171300	1957-12-03					385	A
USGS	08171300	1957-12-04					350	A
USGS	08171300	1957-12-05					340	A
USGS	08171300	1957-12-06					330	A
USGS	08171300	1957-12-07					320	A
USGS	08171300	1957-12-08					310	A
USGS	08171300	1957-12-09					279	A
USGS	08171300	1957-12-10					279	A
USGS	08171300	1957-12-11					268	A
USGS	08171300	1957-12-12					246	A
USGS	08171300	1957-12-13					250	A
USGS	08171300	1957-12-14					243	A
USGS	08171300	1957-12-15					229	A
USGS	08171300	1957-12-16					222	A
USGS	08171300	1957-12-17					216	A
USGS	08171300	1957-12-18					211	A
USGS	08171300	1957-12-19					207	A
USGS	08171300	1957-12-20					193	A
USGS	08171300	1957-12-21					179	A
USGS	08171300	1957-12-22					175	A
USGS	08171300	1957-12-23					175	A
USGS	08171300	1957-12-24					171	A
USGS	08171300	1957-12-25					243	A
USGS	08171300	1957-12-26					255	A
USGS	08171300	1957-12-27					225	A
USGS	08171300	1957-12-28					218	A
USGS	08171300	1957-12-29					204	A
USGS	08171300	1957-12-30					193	A
USGS	08171300	1957-12-31					187	A
USGS	08171300	1958-01-01					175	A
USGS	08171300	1958-01-02					165	A
USGS	08171300	1958-01-03					165	A
USGS	08171300	1958-01-04					169	A
USGS	08171300	1958-01-05					196	A
USGS	08171300	1958-01-06					290	A
USGS	08171300	1958-01-07					268	A
USGS	08171300	1958-01-08					241	A
USGS	08171300	1958-01-09					232	A
USGS	08171300	1958-01-10					229	A
USGS	08171300	1958-01-11					225	A
USGS	08171300	1958-01-12					300	A
USGS	08171300	1958-01-13					310	A
USGS	08171300	1958-01-14					279	A
USGS	08171300	1958-01-15					268	A
USGS	08171300	1958-01-16					255	A
USGS	08171300	1958-01-17					248	A
USGS	08171300	1958-01-18					243	A
USGS	08171300	1958-01-19					241	A
USGS	08171300	1958-01-20					250	A
USGS	08171300	1958-01-21					255	A
USGS	08171300	1958-01-22					239	A
USGS	08171300	1958-01-23					300	A
USGS	08171300	1958-01-24					505	A
USGS	08171300	1958-01-25					410	A
USGS	08171300	1958-01-26					372	A
USGS	08171300	1958-01-27					350	A
USGS	08171300	1958-01-28					340	A
USGS	08171300	1958-01-29					330	A
USGS	08171300	1958-01-30					320	A
USGS	08171300	1958-01-31					310	A
USGS	08171300	1958-02-01					300	A
USGS	08171300	1958-02-02					279	A
USGS	08171300	1958-02-03					279	A
USGS	08171300	1958-02-04					268	A
USGS	08171300	1958-02-05					268	A
USGS	08171300	1958-02-06					268	A
USGS	08171300	1958-02-07					250	A
USGS	08171300	1958-02-08					234	A
USGS	08171300	1958-02-09					234	A
USGS	08171300	1958-02-10					246	A
USGS	08171300	1958-02-11					250	A
USGS	08171300	1958-02-12					246	A
USGS	08171300	1958-02-13					232	A
USGS	08171300	1958-02-14					225	A
USGS	08171300	1958-02-15					213	A
USGS	08171300	1958-02-16					200	A
USGS	08171300	1958-02-17					193	A
USGS	08171300	1958-02-18					191	A
USGS	08171300	1958-02-19					187	A
USGS	08171300	1958-02-20					189	A
USGS	08171300	1958-02-21					348	A
USGS	08171300	1958-02-22					1630	A
USGS	08171300	1958-02-23					2350	A
USGS	08171300	1958-02-24					1400	A
USGS	08171300	1958-02-25					1160	A
USGS	08171300	1958-02-26					1040	A
USGS	08171300	1958-02-27					900	A
